code;name;code_system;value_set
44241000119103;Adult child of alcoholic;http://snomed.info/sct;SNOMED-CT
789612004;Alcohol abuse by mother;http://snomed.info/sct;SNOMED-CT
878802007;Alcoholic husband;http://snomed.info/sct;SNOMED-CT
275114006;Alcoholic offspring;http://snomed.info/sct;SNOMED-CT
878804008;Alcoholic parent;http://snomed.info/sct;SNOMED-CT
878803002;Alcoholic spouse;http://snomed.info/sct;SNOMED-CT
568061000005106;Both parents have allergy;http://snomed.info/sct;SNOMED-CT
439138006;Both parents misuse drugs;http://snomed.info/sct;SNOMED-CT
161079000;Both parents smoke;http://snomed.info/sct;SNOMED-CT
160447006;Brother deceased;http://snomed.info/sct;SNOMED-CT
161062006;Child abuse in family;http://snomed.info/sct;SNOMED-CT
739684008;Child of patient deceased;http://snomed.info/sct;SNOMED-CT
1254721002;Child of subject has disability;http://snomed.info/sct;SNOMED-CT
160457007;Daughter deceased;http://snomed.info/sct;SNOMED-CT
442080007;Drug misuse by mother;http://snomed.info/sct;SNOMED-CT
1258861001;Family attended diabetes structured education program;http://snomed.info/sct;SNOMED-CT
720400005;Family distress;http://snomed.info/sct;SNOMED-CT
64571000119104;Family history of abdominal wall defect;http://snomed.info/sct;SNOMED-CT
789240000;Family history of acetylcholinesterase deficiency;http://snomed.info/sct;SNOMED-CT
64121000119107;Family history of achondroplasia;http://snomed.info/sct;SNOMED-CT
441120009;Family history of acquired immune deficiency syndrome;http://snomed.info/sct;SNOMED-CT
160953001;Family history of acute medical disorder;http://snomed.info/sct;SNOMED-CT
699057005;Family history of Addison disease;http://snomed.info/sct;SNOMED-CT
266890009;Family history of alcoholism;http://snomed.info/sct;SNOMED-CT
64431000119101;Family history of alpha thalassemia;http://snomed.info/sct;SNOMED-CT
431912005;Family history of alpha-1-antitrypsin deficiency;http://snomed.info/sct;SNOMED-CT
64651000119109;Family history of ambiguous genitalia;http://snomed.info/sct;SNOMED-CT
430728001;Family history of amnesia;http://snomed.info/sct;SNOMED-CT
430727006;Family history of amyotrophic lateral sclerosis;http://snomed.info/sct;SNOMED-CT
160418004;Family history of anencephaly;http://snomed.info/sct;SNOMED-CT
725118003;Family history of aneurysm of abdominal aorta;http://snomed.info/sct;SNOMED-CT
430102007;Family history of aneurysm of artery;http://snomed.info/sct;SNOMED-CT
10624451000119103;Family history of aneurysm of blood vessel of brain;http://snomed.info/sct;SNOMED-CT
430753003;Family history of aneurysm of thoracic aorta;http://snomed.info/sct;SNOMED-CT
433306000;Family history of anorexia nervosa;http://snomed.info/sct;SNOMED-CT
108891000119103;Family history of antithrombin III deficiency;http://snomed.info/sct;SNOMED-CT
160377001;Family history of asthma;http://snomed.info/sct;SNOMED-CT
433276002;Family history of atrial fibrillation;http://snomed.info/sct;SNOMED-CT
429950008;Family history of attention deficit hyperactivity disorder;http://snomed.info/sct;SNOMED-CT
433380009;"Family history of attention deficit hyperactivity disorder; predominantly inattentive type";http://snomed.info/sct;SNOMED-CT
412750001;Family history of autism;http://snomed.info/sct;SNOMED-CT
63761000119101;Family history of autism in sibling;http://snomed.info/sct;SNOMED-CT
65011000119103;Family history of autosomal aneuploidy;http://snomed.info/sct;SNOMED-CT
144171000119108;Family history of autosomal translocation;http://snomed.info/sct;SNOMED-CT
429976008;Family history of backache;http://snomed.info/sct;SNOMED-CT
430552005;Family history of benign prostatic hyperplasia;http://snomed.info/sct;SNOMED-CT
64371000119105;Family history of beta thalassemia;http://snomed.info/sct;SNOMED-CT
108801000119109;Family history of blood coagulation disorder;http://snomed.info/sct;SNOMED-CT
429740004;Family history of breast cancer;http://snomed.info/sct;SNOMED-CT
431330007;Family history of breast cancer 1 gene mutation;http://snomed.info/sct;SNOMED-CT
431331006;Family history of breast cancer 2 gene mutation;http://snomed.info/sct;SNOMED-CT
31881000119108;Family history of breast cancer gene BRCA mutation;http://snomed.info/sct;SNOMED-CT
143691000119102;Family history of breast cancer gene mutation in first degree relative;http://snomed.info/sct;SNOMED-CT
433277006;Family history of bulimia nervosa;http://snomed.info/sct;SNOMED-CT
98011000119108;Family history of butyrylcholinesterase deficiency;http://snomed.info/sct;SNOMED-CT
98251000119101;Family history of Canavan disease;http://snomed.info/sct;SNOMED-CT
275937001;Family history of cancer;http://snomed.info/sct;SNOMED-CT
312824007;Family history of cancer of colon;http://snomed.info/sct;SNOMED-CT
430331003;Family history of cancer of the esophagus;http://snomed.info/sct;SNOMED-CT
698248002;Family history of cardiac arrhythmia;http://snomed.info/sct;SNOMED-CT
275120007;Family history of cardiac disorder;http://snomed.info/sct;SNOMED-CT
438825005;Family history of cardiovascular disease in first degree female relative less than 65 years of age;http://snomed.info/sct;SNOMED-CT
439724007;Family history of cardiovascular disease in first degree male relative less than 55 years of age;http://snomed.info/sct;SNOMED-CT
430329007;Family history of celiac disease;http://snomed.info/sct;SNOMED-CT
430674005;Family history of cerebral artery occlusion;http://snomed.info/sct;SNOMED-CT
440697006;Family history of cerebral infarction;http://snomed.info/sct;SNOMED-CT
429970002;Family history of Charcot-Marie-Tooth disease;http://snomed.info/sct;SNOMED-CT
160425006;Family history of chromosomal anomaly;http://snomed.info/sct;SNOMED-CT
266970001;Family history of chronic medical disorder;http://snomed.info/sct;SNOMED-CT
430330002;Family history of chronic myeloid leukemia;http://snomed.info/sct;SNOMED-CT
297241004;Family history of chronic obstructive lung disease;http://snomed.info/sct;SNOMED-CT
430560006;Family history of chronic renal impairment;http://snomed.info/sct;SNOMED-CT
151181000119106;Family history of chronic respiratory disease;http://snomed.info/sct;SNOMED-CT
430729009;Family history of chronic ulcerative proctitis;http://snomed.info/sct;SNOMED-CT
14580001000004104;Family history of Churg Strauss syndrome;http://snomed.info/sct;SNOMED-CT
429954004;Family history of cleft lip;http://snomed.info/sct;SNOMED-CT
430086009;Family history of cleft palate;http://snomed.info/sct;SNOMED-CT
433279009;Family history of cleft palate with cleft lip;http://snomed.info/sct;SNOMED-CT
13961000119104;Family history of clubfoot;http://snomed.info/sct;SNOMED-CT
430336008;Family history of color blindness;http://snomed.info/sct;SNOMED-CT
1421000119104;Family history of colorectal cancer;http://snomed.info/sct;SNOMED-CT
64111000119100;Family history of combined hyperlipidemia;http://snomed.info/sct;SNOMED-CT
281022002;Family history of complete trisomy 21 syndrome;http://snomed.info/sct;SNOMED-CT
64041000119100;Family history of complex congenital heart disease;http://snomed.info/sct;SNOMED-CT
429958001;Family history of conduction disorder of the heart;http://snomed.info/sct;SNOMED-CT
266908007;Family history of congenital anomaly of cardiovascular system;http://snomed.info/sct;SNOMED-CT
429977004;Family history of congenital cataract;http://snomed.info/sct;SNOMED-CT
160417009;Family history of congenital disease;http://snomed.info/sct;SNOMED-CT
700191004;Family history of congenital hip dysplasia;http://snomed.info/sct;SNOMED-CT
63941000119102;Family history of congenital hydrocephalus;http://snomed.info/sct;SNOMED-CT
50050161000188101;Family history of congenital immunodeficiency disease;http://snomed.info/sct;SNOMED-CT
1148759006;Family history of congenital microcephaly;http://snomed.info/sct;SNOMED-CT
433305001;Family history of congestive heart failure;http://snomed.info/sct;SNOMED-CT
65001000119101;Family history of connective tissue disorder;http://snomed.info/sct;SNOMED-CT
160475008;Family history of consanguinity;http://snomed.info/sct;SNOMED-CT
430091005;Family history of coronary arteriosclerosis;http://snomed.info/sct;SNOMED-CT
65031000119108;Family history of Cowden syndrome;http://snomed.info/sct;SNOMED-CT
94721000119105;Family history of craniosynostosis;http://snomed.info/sct;SNOMED-CT
160309002;Family history of cystic fibrosis;http://snomed.info/sct;SNOMED-CT
64911000119103;Family history of cystic hygroma;http://snomed.info/sct;SNOMED-CT
430288004;Family history of death due to natural cause;http://snomed.info/sct;SNOMED-CT
430289007;Family history of death of unknown cause;http://snomed.info/sct;SNOMED-CT
431812006;Family history of degenerative disorder of macula;http://snomed.info/sct;SNOMED-CT
429961000;Family history of dementia;http://snomed.info/sct;SNOMED-CT
412749001;Family history of development disorder;http://snomed.info/sct;SNOMED-CT
160303001;Family history of diabetes mellitus;http://snomed.info/sct;SNOMED-CT
416855002;Family history of diabetes mellitus in first degree relative;http://snomed.info/sct;SNOMED-CT
430678008;Family history of diabetes mellitus type 1;http://snomed.info/sct;SNOMED-CT
430679000;Family history of diabetes mellitus type 2;http://snomed.info/sct;SNOMED-CT
698650004;Family history of diabetes mellitus with complication;http://snomed.info/sct;SNOMED-CT
1254722009;Family history of disability;http://snomed.info/sct;SNOMED-CT
281666001;Family history of disorder;http://snomed.info/sct;SNOMED-CT
737367001;Family history of disorder of immune function;http://snomed.info/sct;SNOMED-CT
430564002;Family history of disorder of lung;http://snomed.info/sct;SNOMED-CT
430685007;Family history of disorder of pancreas;http://snomed.info/sct;SNOMED-CT
431882002;Family history of disorder of peripheral nervous system;http://snomed.info/sct;SNOMED-CT
704009004;Family history of disorder of vein;http://snomed.info/sct;SNOMED-CT
430568004;Family history of dissection of aorta;http://snomed.info/sct;SNOMED-CT
433163001;Family history of diverticulitis of colon;http://snomed.info/sct;SNOMED-CT
109271000119105;Family history of double heterozygous familial hypercholesterolemia;http://snomed.info/sct;SNOMED-CT
429951007;Family history of eating disorder;http://snomed.info/sct;SNOMED-CT
473071007;Family history of edema of lower extremity;http://snomed.info/sct;SNOMED-CT
429978009;Family history of endocarditis;http://snomed.info/sct;SNOMED-CT
160301004;Family history of endocrine disorders;http://snomed.info/sct;SNOMED-CT
109241000119103;Family history of eruptive xanthoma;http://snomed.info/sct;SNOMED-CT
94691000119101;Family history of familial dysautonomia;http://snomed.info/sct;SNOMED-CT
443454007;Family history of familial hypercholesterolemia;http://snomed.info/sct;SNOMED-CT
709090007;Family history of familial multiple polyposis syndrome;http://snomed.info/sct;SNOMED-CT
297246009;Family history of female genital tract disorder;http://snomed.info/sct;SNOMED-CT
430693007;Family history of fracture of proximal end of femur;http://snomed.info/sct;SNOMED-CT
65071000119106;Family history of fragile X syndrome;http://snomed.info/sct;SNOMED-CT
64081000119105;Family history of galactosemia;http://snomed.info/sct;SNOMED-CT
138701000119105;Family history of gene mutation;http://snomed.info/sct;SNOMED-CT
430695000;Family history of genetic disorder carrier;http://snomed.info/sct;SNOMED-CT
1099601000119106;Family history of genetic mutation for Lynch syndrome;http://snomed.info/sct;SNOMED-CT
64251000119106;Family history of glycogen storage disease;http://snomed.info/sct;SNOMED-CT
118651000119105;Family history of Hashimoto thyroiditis;http://snomed.info/sct;SNOMED-CT
429963002;Family history of headache disorder;http://snomed.info/sct;SNOMED-CT
439750006;Family history of hearing loss;http://snomed.info/sct;SNOMED-CT
429959009;Family history of heart failure;http://snomed.info/sct;SNOMED-CT
309631001;Family history of helminth infection;http://snomed.info/sct;SNOMED-CT
138081000119104;Family history of hematuria;http://snomed.info/sct;SNOMED-CT
401119001;Family history of hemochromatosis;http://snomed.info/sct;SNOMED-CT
64501000119109;Family history of hemoglobinopathy;http://snomed.info/sct;SNOMED-CT
64391000119106;Family history of hemoglobinopathy E;http://snomed.info/sct;SNOMED-CT
429962007;Family history of hereditary disease;http://snomed.info/sct;SNOMED-CT
1098871000119109;Family history of hereditary nonpolyposis colon cancer;http://snomed.info/sct;SNOMED-CT
81651000119109;Family history of heritable malignancy;http://snomed.info/sct;SNOMED-CT
433495007;Family history of Hodgkin's disease;http://snomed.info/sct;SNOMED-CT
438998000;Family history of human immunodeficiency virus infection;http://snomed.info/sct;SNOMED-CT
71261000119101;Family history of hydronephrosis;http://snomed.info/sct;SNOMED-CT
74131000119101;Family history of hyperbetalipoproteinemia;http://snomed.info/sct;SNOMED-CT
130771000119102;Family history of hypercoagulable state;http://snomed.info/sct;SNOMED-CT
725117008;Family history of hyperlipidemia;http://snomed.info/sct;SNOMED-CT
109331000119100;Family history of hyperlipoproteinemia a;http://snomed.info/sct;SNOMED-CT
430089002;Family history of hyperthyroidism;http://snomed.info/sct;SNOMED-CT
