code;name;code_system;value_set
275556002;A/B cover need - dentistry;http://snomed.info/sct;SNOMED-CT
267006003;A/B cover need - surg./dentist;http://snomed.info/sct;SNOMED-CT
275557006;A/B cover need - surgery;http://snomed.info/sct;SNOMED-CT
394698008;Birth history;http://snomed.info/sct;SNOMED-CT
473388009;Born at home;http://snomed.info/sct;SNOMED-CT
169818001;Born before arrival;http://snomed.info/sct;SNOMED-CT
444966004;Born before arrival of midwife;http://snomed.info/sct;SNOMED-CT
445087001;Born before arrival to hospital;http://snomed.info/sct;SNOMED-CT
407613009;Born by breech delivery;http://snomed.info/sct;SNOMED-CT
394699000;Born by cesarean section;http://snomed.info/sct;SNOMED-CT
395682006;Born by elective cesarean section;http://snomed.info/sct;SNOMED-CT
407615002;Born by emergency cesarean section;http://snomed.info/sct;SNOMED-CT
395681004;Born by forceps delivery;http://snomed.info/sct;SNOMED-CT
395683001;Born by normal vaginal delivery;http://snomed.info/sct;SNOMED-CT
407614003;Born by ventouse delivery;http://snomed.info/sct;SNOMED-CT
473389001;Born in ambulance;http://snomed.info/sct;SNOMED-CT
1,03011E+14;Coronary arteriosclerosis in patient with history of previous myocardial infarction;http://snomed.info/sct;SNOMED-CT
1187607009;Deserted from military service;http://snomed.info/sct;SNOMED-CT
473137000;Disability absent;http://snomed.info/sct;SNOMED-CT
1187608004;Dishonorably discharged from military service;http://snomed.info/sct;SNOMED-CT
1187605001;Exposed to combat during military service;http://snomed.info/sct;SNOMED-CT
1187612005;Failed military service training;http://snomed.info/sct;SNOMED-CT
162271007;Felt faint;http://snomed.info/sct;SNOMED-CT
709462001;Fetal exposure to alcohol;http://snomed.info/sct;SNOMED-CT
710570008;Fetal exposure to angiotensin converting enzyme inhibitor agent;http://snomed.info/sct;SNOMED-CT
789377005;Fetal exposure to anticonvulsant;http://snomed.info/sct;SNOMED-CT
711456004;Fetal exposure to drug;http://snomed.info/sct;SNOMED-CT
781699006;Fetal exposure to methamphetamine;http://snomed.info/sct;SNOMED-CT
709426002;Fetal exposure to toxin;http://snomed.info/sct;SNOMED-CT
440706004;Full renal function recovered;http://snomed.info/sct;SNOMED-CT
161542005;H/O lower GIT neoplasm;http://snomed.info/sct;SNOMED-CT
161432005;H/O Malignant melanoma;http://snomed.info/sct;SNOMED-CT
161541003;H/O upper GIT neoplasm;http://snomed.info/sct;SNOMED-CT
161513002;H/O ventricular fibrillation;http://snomed.info/sct;SNOMED-CT
161747002;H/O: 1 miscarriage;http://snomed.info/sct;SNOMED-CT
161748007;H/O: 2 miscarriages;http://snomed.info/sct;SNOMED-CT
161749004;H/O: 3 miscarriages;http://snomed.info/sct;SNOMED-CT
161750004;H/O: 4 miscarriages;http://snomed.info/sct;SNOMED-CT
161751000;H/O: 5 miscarriages;http://snomed.info/sct;SNOMED-CT
161752007;H/O: 6 miscarriages;http://snomed.info/sct;SNOMED-CT
161533003;H/O: abdominal hernia;http://snomed.info/sct;SNOMED-CT
267016006;H/O: abnormal uterine bleeding;http://snomed.info/sct;SNOMED-CT
309635005;H/O: Admission in last year for diabetes foot problem;http://snomed.info/sct;SNOMED-CT
161466001;H/O: alcoholism;http://snomed.info/sct;SNOMED-CT
390933006;H/O: amblyopia;http://snomed.info/sct;SNOMED-CT
161780009;H/O: amenorrhea;http://snomed.info/sct;SNOMED-CT
161456009;H/O: anemia - iron deficient;http://snomed.info/sct;SNOMED-CT
308066006;H/O: Angina in last year;http://snomed.info/sct;SNOMED-CT
161504004;H/O: angina pectoris;http://snomed.info/sct;SNOMED-CT
609550002;H/O: angiotensin converting enzyme inhibitor pseudoallergy;http://snomed.info/sct;SNOMED-CT
161471008;H/O: anorexia nervosa;http://snomed.info/sct;SNOMED-CT
161470009;H/O: anxiety state;http://snomed.info/sct;SNOMED-CT
161514008;H/O: aortic aneurysm;http://snomed.info/sct;SNOMED-CT
161532008;H/O: appendicitis;http://snomed.info/sct;SNOMED-CT
275554004;H/O: arthritis;http://snomed.info/sct;SNOMED-CT
161635002;H/O: asbestos exposure;http://snomed.info/sct;SNOMED-CT
161527007;H/O: asthma;http://snomed.info/sct;SNOMED-CT
312442005;H/O: atrial fibrillation;http://snomed.info/sct;SNOMED-CT
161474000;H/O: attempted suicide;http://snomed.info/sct;SNOMED-CT
161570007;H/O: back problem;http://snomed.info/sct;SNOMED-CT
267000009;H/O: biliary disease;http://snomed.info/sct;SNOMED-CT
1,2481E+13;H/O: biological substance allergy;http://snomed.info/sct;SNOMED-CT
161580006;H/O: birth trauma;http://snomed.info/sct;SNOMED-CT
266992002;H/O: blood disorder;http://snomed.info/sct;SNOMED-CT
275540007;H/O: brain disorder;http://snomed.info/sct;SNOMED-CT
161797003;H/O: breast problem;http://snomed.info/sct;SNOMED-CT
275528007;H/O: bronchitis;http://snomed.info/sct;SNOMED-CT
275903009;H/O: carcinoma;http://snomed.info/sct;SNOMED-CT
161573009;H/O: cardiac anomaly;http://snomed.info/sct;SNOMED-CT
161692001;H/O: cardiac pacemaker in situ;http://snomed.info/sct;SNOMED-CT
266995000;H/O: cardiovascular disease;http://snomed.info/sct;SNOMED-CT
161489009;H/O: cataract;http://snomed.info/sct;SNOMED-CT
161423008;H/O: chickenpox;http://snomed.info/sct;SNOMED-CT
161496006;H/O: chronic ear infection;http://snomed.info/sct;SNOMED-CT
161563007;H/O: chronic skin ulcer;http://snomed.info/sct;SNOMED-CT
161575002;H/O: cleft lip;http://snomed.info/sct;SNOMED-CT
161574003;H/O: cleft palate;http://snomed.info/sct;SNOMED-CT
266993007;H/O: CNS disorder;http://snomed.info/sct;SNOMED-CT
161460007;H/O: coagulation defect;http://snomed.info/sct;SNOMED-CT
266999006;H/O: colitis;http://snomed.info/sct;SNOMED-CT
161572004;H/O: congenital anomaly;http://snomed.info/sct;SNOMED-CT
161491001;H/O: corneal ulcer;http://snomed.info/sct;SNOMED-CT
314550003;H/O: deliberate self harm;http://snomed.info/sct;SNOMED-CT
161465002;H/O: dementia;http://snomed.info/sct;SNOMED-CT
161469008;H/O: depression;http://snomed.info/sct;SNOMED-CT
161445009;H/O: diabetes mellitus;http://snomed.info/sct;SNOMED-CT
413178000;H/O: diphtheria;http://snomed.info/sct;SNOMED-CT
135879003;H/O: dislocated shoulder;http://snomed.info/sct;SNOMED-CT
312850006;H/O: Disorder;http://snomed.info/sct;SNOMED-CT
275547005;H/O: duodenal ulcer;http://snomed.info/sct;SNOMED-CT
161796007;H/O: dyspareunia;http://snomed.info/sct;SNOMED-CT
161494009;H/O: ear disorder;http://snomed.info/sct;SNOMED-CT
161806007;H/O: eclampsia;http://snomed.info/sct;SNOMED-CT
161763005;H/O: ectopic pregnancy;http://snomed.info/sct;SNOMED-CT
161561009;H/O: eczema;http://snomed.info/sct;SNOMED-CT
275545002;H/O: embolism;http://snomed.info/sct;SNOMED-CT
161479005;H/O: encephalitis;http://snomed.info/sct;SNOMED-CT
266990005;H/O: endocrine disorder;http://snomed.info/sct;SNOMED-CT
161480008;H/O: epilepsy;http://snomed.info/sct;SNOMED-CT
390839009;H/O: facial injury;http://snomed.info/sct;SNOMED-CT
394705009;H/O: febrile convulsions;http://snomed.info/sct;SNOMED-CT
726625000;H/O: first degree perineal laceration;http://snomed.info/sct;SNOMED-CT
391095006;H/O: fracture;http://snomed.info/sct;SNOMED-CT
391092009;H/O: fragility fracture;http://snomed.info/sct;SNOMED-CT
267015005;H/O: full term delivery;http://snomed.info/sct;SNOMED-CT
275550008;H/O: gallbladder disease;http://snomed.info/sct;SNOMED-CT
407637009;H/O: gallstones;http://snomed.info/sct;SNOMED-CT
275548000;H/O: gastric ulcer;http://snomed.info/sct;SNOMED-CT
266997008;H/O: gastrointestinal disease;http://snomed.info/sct;SNOMED-CT
267018007;H/O: genital prolapse;http://snomed.info/sct;SNOMED-CT
161488001;H/O: glaucoma;http://snomed.info/sct;SNOMED-CT
161451004;H/O: gout;http://snomed.info/sct;SNOMED-CT
161524000;H/O: hay fever;http://snomed.info/sct;SNOMED-CT
161587009;H/O: head injury;http://snomed.info/sct;SNOMED-CT
161497002;H/O: hearing problem;http://snomed.info/sct;SNOMED-CT
275544003;H/O: heart disorder;http://snomed.info/sct;SNOMED-CT
161505003;H/O: heart failure;http://snomed.info/sct;SNOMED-CT
309634009;H/O: Heart failure in last year;http://snomed.info/sct;SNOMED-CT
391093004;H/O: hip fracture;http://snomed.info/sct;SNOMED-CT
161501007;H/O: hypertension;http://snomed.info/sct;SNOMED-CT
161442007;H/O: hyperthyroidism;http://snomed.info/sct;SNOMED-CT
161443002;H/O: hypothyroidism;http://snomed.info/sct;SNOMED-CT
161413004;H/O: infectious disease;http://snomed.info/sct;SNOMED-CT
161798008;H/O: infertility - female;http://snomed.info/sct;SNOMED-CT
